id,dm,name,zxj,zde,zdf,cjl,cje,zs,jk,zg,zd,wb
1,835368,连城数控,109.0,4.62,4.43%,2809,31037717.0万,104.38,106.0,112.98,106.0,-38.23%
2,839167,同享科技,32.57,1.07,3.4%,1234,4039878.0万,31.5,32.26,33.28,31.81,31.98%
3,835185,贝特瑞,41.15,0.54,1.33%,2027,8342681.0万,40.61,41.38,41.55,40.6,-23.15%
4,832000,N凤凰,7.26,0.06,0.83%,40690,29469221.0万,7.2,7.2,7.35,7.12,-4.14%
5,831445,XD龙竹科,8.15,0.04,0.49%,1375,1129653.0万,8.11,8.18,8.37,8.1,-27.1%
6,839729,永顺生物,39.0,0.12,0.31%,45,176624.0万,38.88,38.51,39.27,38.5,13.89%
7,831961,创远仪器,23.84,0.07,0.29%,563,1344423.0万,23.77,23.9,24.11,23.6,-37.95%
8,835184,国源科技,9.0,0.01,0.11%,678,606592.0万,8.99,9.08,9.08,8.92,37.07%
9,835508,殷图网联,9.99,0.01,0.1%,441,444872.0万,9.98,9.98,10.2,9.78,72.67%
10,838163,方大股份,7.34,0.0,0.0%,378,277325.0万,7.34,7.32,7.36,7.32,28.4%
11,836433,大唐药业,6.3,0.0,0.0%,345,217644.0万,6.3,6.44,6.44,6.28,-3.02%
12,836263,中航泰达,5.18,0.0,0.0%,784,406074.0万,5.18,5.18,5.23,5.17,-31.69%
13,834021,流金岁月,5.46,0.0,0.0%,497,271751.0万,5.46,5.47,5.5,5.45,71.13%
14,830964,润农节水,3.59,0.0,0.0%,1774,635623.0万,3.59,3.58,3.63,3.56,-1.29%
15,832317,观典防务,16.91,-0.02,-0.12%,3790,6470319.0万,16.93,16.99,17.27,16.85,16.01%
16,871396,常辅股份,10.48,-0.02,-0.19%,462,480328.0万,10.5,10.5,10.73,10.33,81.56%
17,833819,颖泰生物,5.16,-0.01,-0.19%,1682,870565.0万,5.17,5.17,5.2,5.16,-7.59%
18,833994,翰博高新,47.73,-0.12,-0.25%,310,1483597.0万,47.85,47.85,48.18,47.65,-26.18%
19,834475,三友科技,13.81,-0.04,-0.29%,690,952491.0万,13.85,13.74,13.88,13.71,78.74%
20,834682,球冠电缆,7.18,-0.03,-0.42%,917,660879.0万,7.21,7.21,7.24,7.16,-16.57%
1,830799,艾融软件,23.3,-0.13,-0.55%,185,433336.0万,23.43,23.44,23.77,23.25,-16.56%
2,831010,凯添燃气,3.58,-0.02,-0.56%,2060,738933.0万,3.6,3.62,3.62,3.57,-3.68%
3,838030,德众股份,3.57,-0.02,-0.56%,2996,1069413.0万,3.59,3.58,3.59,3.56,22.52%
4,832278,鹿得医疗,13.85,-0.08,-0.57%,368,507412.0万,13.93,13.7,13.99,13.7,20.07%
5,430418,苏轴股份,11.11,-0.08,-0.71%,213,236672.0万,11.19,11.28,11.28,11.06,60.81%
6,430047,诺思兰德,11.0,-0.1,-0.9%,11283,12498702.0万,11.1,11.35,11.46,10.81,-39.92%
7,430489,佳先股份,8.48,-0.08,-0.93%,310,262331.0万,8.56,8.64,8.64,8.44,10.36%
8,830946,森萱医药,5.0,-0.05,-0.99%,1366,687228.0万,5.05,5.09,5.09,4.99,-12.95%
9,831370,新安洁,5.68,-0.06,-1.05%,1111,635195.0万,5.74,5.8,5.8,5.62,22.42%
10,837242,建邦股份,14.3,-0.16,-1.11%,1379,1963460.0万,14.46,14.59,14.59,14.06,52.58%
11,430198,微创光电,17.28,-0.23,-1.31%,316,549385.0万,17.51,17.73,17.73,17.28,-4.2%
12,834415,恒拓开源,5.1,-0.07,-1.35%,272,138946.0万,5.17,5.16,5.19,5.08,39.75%
13,833266,生物谷,12.08,-0.17,-1.39%,1001,1204724.0万,12.25,12.11,12.15,12.0,-64.16%
14,836149,旭杰科技,12.0,-0.17,-1.4%,673,805745.0万,12.17,11.82,12.35,11.82,72.17%
15,833874,泰祥股份,12.19,-0.21,-1.69%,197,241950.0万,12.4,12.43,12.45,12.17,39.29%
16,835670,数字人,13.39,-0.27,-1.98%,2717,3662761.0万,13.66,13.7,13.86,13.31,61.47%
17,835640,富士达,19.5,-0.44,-2.21%,759,1497581.0万,19.94,19.8,19.99,19.5,13.61%
18,830839,万通液压,13.0,-0.59,-4.34%,4332,5736757.0万,13.59,13.44,13.88,12.95,5.59%
